"id","feature","description","feature_nl","description_nl","repo","underway","effort","value","shortlist","coverage","discovery","portfolios","project","durability","tickets","note"
"obsolete-records","Corrections actually take effect","When a name is fixed or someone leaves a club, the old entry disappears instead of lingering beside the new one.","","","Data","no","L","2","","*","","","","","Data#39, #516, #609","Clubs rarely vanish; corrected names and deleted memberships are the common cases. Identity is name-based, so fixing a typo creates a second person rather than editing the first. Also covers duplicate records arising from keyword overlap (#516): a duplicate is the same mechanism, a record that should have gone away and did not."
"search-clubs-expertises","Search on more than names","Search for a club or a kind of photography, not only for a photographer's name.","Zoeken op meer dan namen","Zoek op een club of op een soort fotografie, niet alleen op de naam van een fotograaf.","iOS","no","M","4","1","","*","","","","#561","theme: relevance"
"expertises-screen","A screen for expertises","Browse the full list of photography types the way the website already allows.","Een scherm voor soorten fotografie","Blader door de volledige lijst met soorten fotografie, zoals dat op de website al kan.","iOS","no","M","3","1","","*","","","","#561","theme: relevance READER WORDING, OUTSTANDING: ""the way the website already allows"" does not say which website. It means the generated club sites, which a reader has no reason to know exist. Same defect that was fixed in suggested-updates and seed-all-nl-clubs."
"contact-a-photographer","Get in touch with a photographer","Having found someone whose work interests you, there is an obvious way to reach them rather than a dead end.","","","iOS","no","M","2","","","*","","","","","Fills the gap at the end of the find-someone-with-similar-interests journey: today it stops at their club, with no support in the app. Needs a decision on what is appropriate — a club address rather than a personal one, probably. Effort re-estimated M to S: the work is a decision about what is appropriate, not code; once that is settled it is a link. EFFORT RE-ESTIMATED S BACK UP TO M, and value set low, 4 Sept 2026. The S estimate treated this as a decision about what is appropriate. That underweighted the real cost: the moment open source software holds a non-public email address it becomes touchy, and that is a privacy and data-handling burden rather than a design choice. THE WORKAROUND ALREADY EXISTS AND IS ADEQUATE: every club has a website, so the request 'can you forward this to Dave?' works today with no software at all. A button with a small form doing exactly that forward is buildable, but should wait for demand. WHY THE DEMAND IS NOT REAL YET: it comes up as a reaction to the pitch, when the concept is sold as improving communication between clubs and their members, rather than from anyone hitting the problem. There have probably been zero cases of someone trying to reach one of the 100+ listed people and failing. Anyone who genuinely wants to reach a photographer manages, unless that photographer would rather not be reached, and people who want to stay unreachable do not join clubs. Worth remembering the pattern, since a feature requested rhetorically in response to how something is described is not the same as a feature someone needed."
"pins-in-front","The club you are looking at stays visible","The pin for the club whose map you are viewing is drawn in front of the others, instead of disappearing behind one at the same address.","","","multiple","no","S","3","","","*","","","","#394","Not a wrong-location problem: coordinates are fine. The purple pin that is the subject of a map can be drawn behind a blue one sharing an address. Low stakes and probably a small fix. Note the hand-applied offsets between co-located pins are deliberate and should survive it: they are a data diagnostic, not a workaround, since without them clubs at one address render as a single pin. Seven clusters exist among 93 organizations, the largest being four clubs at one address; two pairs are still un-offset. Reasoning recorded on #394."
"show-photos-natively","Every portfolio shown the same way","Photographs are laid out by the app itself, the same way for every club and without the surrounding clutter, and can be zoomed.","","","multiple","no","XL","3","","","","*","","","#243, #435, #837","Goes to the project's stated reason for existing. The built-in Readme opens with ""displays selected photos ... in a consistent, accessible manner, while minimizing distractions"", and argues that web sites are less suitable because they are cluttered by browser controls and other content. Portfolios are currently satisfied by rendering exactly such a web site in an embedded browser, so presentation is at the mercy of each club's site — some show the selected photo over a backdrop of others. It also blocks a whole category: nothing at the level of an individual photograph is possible today, so no photo counts in the statistics and no finding a similar image. (Tapping a club or photographer link is separate: that does open an external browser.) The club's gallery XML is parsed only to extract one thumbnail; Level 3 should use it as seed data instead of rendering the page."
"faster-photos","Thumbnails that load instantly","The small photographs in the Clubs and People lists appear at once when you scroll back, instead of being fetched again.","","","multiple","no","S","2","","","","*","","","#43, #734, #463","Independent of show-photos-natively, contrary to an earlier note here. Portfolio images are rendered by the club's own page and are outside the app's control, but the featured thumbnails in the Clubs and People tabs are fetched by the app itself (AsyncImage) and there are 121 of them today. Those lists get scrolled a lot. An off-the-shelf caching package such as Nuke would do it. Effort re-estimated M to S: rescoped to thumbnails only, using an off-the-shelf package in place of AsyncImage."
"past-exhibitions","Photos from past exhibitions","See the work a club showed at an exhibition, after the exhibition has ended.","Foto's van eerdere exposities","Bekijk het werk dat een club op een expositie liet zien, ook nadat de expositie voorbij is.","HTML","partly","M","3","1","","","*","","","#834","SHARES A PLATFORM WITH THE OTHER EXHIBITION ROW, and that is supply-side knowledge which must not leak into the question. To a reader these are two different products with different benefits: a coming exhibition is notification-shaped, do not miss it, while a past one is catalogue-shaped, browse the whole show the way a museum sells you the book, except free if the club takes part. Someone can reasonably want either, both or neither, so both are asked. BEHIND THEM IS ONE MECHANISM: one Exhibition entity holding two dates, one JSON block, one list, and the only difference is which end of the date range you are reading and whether a poster or a gallery is rendered. So the cost is not additive. Roughly three to four weeks covers both, and whichever ships first makes the second nearly free. The effort column cannot say that, since it prices each row as if ordered alone, which is the same limitation that left the level2-on-request service without an honest figure. READING A SPLIT RESULT: if one scores five and the other ten, that is not an argument for building only the second. It is an argument about which to lead with, since the other follows for almost nothing. SPEC SIZED 7 Sept 2026, M confirmed for both halves together. The main risk turned out not to exist: MemberPortfolioView already delegates to SinglePortfolioView(url:webView:), so the rendering takes a URL rather than a MemberPortfolio and renders whatever is at it. Making a past exhibition look like a portfolio is therefore nearly free on iOS rather than a refactor, and independent of how the club's page was produced: only a minority of clubs use Juicebox and none need to. A Lightroom plugin pays off more at a hundred photographs than at fifteen, so an exhibition is where it would help most, but adopting it is a separate campaign that this does not wait on. Adding an entity is an additive schema change, so lightweight migration covers it and no data reset is needed. TWO NOTES ON THE SPEC. The cached relevance boolean is a denormalization for a query that does not exist yet and can wait until one is slow. And a future exhibition with no poster has no location either, since the schema deliberately leans on the poster to carry the address: the placeholder covers the display, not the question of where to go."
"other-subjects","Not only photo clubs","Point the app at a different collection entirely: cats, trains, bird species.","","","multiple","partly","S","1","","","","","*","","#829, HTML#259","Effort re-estimated M to S: the package half is written already, if uncommitted; what remains is the app half and the generated-site branding."
"app-stays-up","An app that does not disappear","The app stops running out of memory or crashing while you scroll and browse.","","","iOS","no","L","2","","","","","","*","#804, #805, #443, #665, #666","NEW — replaces maps-stability Effort re-estimated M to L: four or five separate crashes across three screens, and the Maps one is architectural: one live Map per card, markers growing quadratically with the dataset."
"regional-scope","Somewhere near you, by default","The app opens on your own country or region, with the rest of the world available but not in the way.","","","multiple","no","M","2","","","*","","","","#803, #829","NEW — theme: relevance"
"html-app-on-app-store","Website generator on the App Store","Install the website generator like any other app, instead of building it yourself.","","","HTML","partly","M","3","","","","","*","","HTML#254",""
"seed-all-nl-clubs","Every Dutch club on the map","Find your club already on the map wherever it is in the country, rather than only clubs in a couple of regions.","Elke Nederlandse club op de kaart","Vind je club al op de kaart, waar in het land die ook zit, in plaats van alleen clubs in een paar regio's.","multiple","no","S","3","1","*","","","","","#839","NEW — precondition for claim-your-club nationally READER WORDING 7 Sept 2026: ""your Fotobond club"" excluded the half of Dutch clubs that are not members, who would read the row as being about somebody else. HOW THE NON-FOTOBOND HALF GETS FOUND, which is the unsolved part of this row: there is no list to copy. A workable approach is searching for ""fotoclub fotogroep site:.nl"", plausibly once per town above ten thousand inhabitants, then filtering the false positives by checking whether credible member names can be found on the site. That last step is what the census tooling already does, so the two are closer than they look. TWO STEPS, AND THE EFFORT COVERS ONLY THE FIRST. Step one is the federation's own clubs: the public list exists, 193 of them publish a website, and it has already been scraped, so this is data entry and the S is honest. Step two is the other half, which no list covers, and it is a different kind of work: search, then judgement about what is really a photo club. Its cost is dominated by filtering false positives rather than by finding candidates, and it has no natural finishing line, since you can never know you have them all. Worth its own row and its own estimate if it is ever scheduled; until then the S here should be read as step one only, while the value the row was rated at covers the whole idea. WHY THE NON-FOTOBOND HALF IS WORTH THE TROUBLE, and why it is a slow argument rather than an obvious one. The questionnaire goes to federation members only, so covering clubs outside it looks like a stretched target to that audience. The case made to the federation is that those clubs are bridgeheads: to clubs that left, and to clubs that never joined, neither of which the federation currently has any channel to reach. Note how the gap is filled today, because it explains both the need and its shape: clubs invite each other to exhibitions from address lists built by hand, adding whoever turned up last year. That works across the membership boundary and is entirely personal, which is why it does not scale and why nobody holds the whole picture."
"join-without-club","A place for individual members","Individual members, who are not attached to a club, can find each other too.","Een plek voor persoonlijke leden","Persoonlijke leden, die niet via een club zijn aangesloten, kunnen elkaar zo ook vinden.","multiple","partly","S","3","1","*","","","","","#838","Not only an on-ramp for the app. A club member gets something back through the club; a federation member with no club pays the same and belongs to nothing, so the federation's value proposition is weakest exactly here, and these members have been treated as strays. The app can supply what they lack — a way to find each other, if they want to. The aim is to help them get organised, with a coordinator per district, repeating what one volunteer already did in one district and submitted as a list. Cheap, partly working already, and its most useful advocate would be describing his own situation rather than endorsing someone else's project."
"less-typing-per-member","Less typing per member","One link for the club derives every member's portfolio and thumbnail automatically.","","","iOS","no","M","3","","*","","","","","#435","Effort re-estimated S to M: three subtasks: a new Core Data attribute, an optional-fields entry, and Level 1 parsing, plus the character substitution rules for deriving names."
"find-the-documentation","Find the instructions","Anyone wondering how to add their club can find the instructions from inside the app.","","","iOS","no","S","2","","*","","","","","#563","NEW"
"expertises-on-people","Expertises on the People screen","See at a glance what kind of photography someone is known for.","","","iOS","no","S","2","","","*","","","","#836","Dropped from the questionnaire shortlist 6 Sept 2026 to make room for a question about the photographs. It was the third of three expertise questions and the lowest rated of them, so the cluster loses its weakest member rather than the topic losing its place."
"tidier-lists","Tidier lists","Museums out of the club list, former clubs last, and ex-members no longer shown as officers.","","","iOS","no","S","1","","","*","","","","#253, #584, #609","theme: relevance"
"working-links","Links that always work","A link to a photographer's own website works however it was typed in.","","","iOS","no","S","1","","","","","","*","#567","NEW"
"document-level3","Instructions for publishing photos","Written step-by-step instructions for getting a club's portfolios online.","","","iOS","no","S","1","","*","","","","","#837",""
"growth-statistics","Watch the project grow","See how many clubs, photographers and photos the app covers, and how that is changing.","Zie het project groeien","Zie hoeveel clubs, fotografen en foto's de app omvat, en hoe dat verandert.","multiple","no","S","3","1","","","","*","","#351, Data#25","Measuring already happens: LineCount.csv, and the HTML app's status bar computes clubs, photographers, memberships and expertise tags live. The open question is not whether to show the numbers but HOW PROMINENTLY. Nothing needs hiding — the resolution is placement. Behind a link in Settings it exists, is honest and is available, but nobody meets it unprompted; that also fits the existing convention that Settings carries the precise, technical material. Placement can then only move upward: promoting a stats page later reads as confidence, whereas launching it prominently and demoting it reads as retreat. That removes the risk that a flat line broadcasts stagnation to the audiences being courted. Choose cumulative counts (photographs viewable, tags in use) over rates (clubs joined this quarter), since cumulative totals flatten while rates stall visibly. Separately, the honest ladder — 92 clubs known, ~12 with data, 216 portfolios, 186 with a link, 121 with a visible photograph — is already in use privately with partners and needs no feature at all."
"roadmap-voting","Vote on what comes next","Say which of these you want most, and see what everybody else picked.","","","iOS","no","S","2","","","","","*","","#371",""
"tab-bar-choice","Choose how the tab bar behaves","Decide for yourself whether the tab bar shrinks away while you scroll.","","","iOS","no","S","1","","","","","","*","#771",""
"self-checking-websites","Websites that notice they are stale","A weekly nudge when a club's data has moved on but its generated site has not.","","","multiple","no","S","2","","","","","*","","Data#24, HTML#257",""
"https-everywhere","Everything over https","Pages and data travel over a secure connection, so browsers stop warning people away.","","","multiple","no","S","3","","","","","","*","#145, HTML#250","Not just hygiene: vdhamer.com has no TLS at all, which blocks hosting any form or interactive page there, and blocks #145 and HTML#250. Strato certificate exists but is not serving."
"suggested-updates","Noticing when someone joins or leaves","When someone joins or leaves your club, the club's own website usually says so first. The app can notice this by itself.","Merken dat iemand lid wordt of vertrekt","Als iemand lid wordt van je club of vertrekt, staat dat meestal eerst op de website van de club zelf. De app kan dat zelf opmerken.","new","no","M","4","1","","","","","*","#835","Distinct from level2-autofill, which starts a club from nothing. This one compares a club that already has data against its own website and proposes differences. Measured 4 Sept 2026 across all 193 federation club sites: 82% Jaccard agreement between stored data and websites on the seven clubs where both exist, with the residual being genuine disagreement between two independently stale sources rather than extraction error. TWO REASONS THIS MODE IS EASIER THAN COLD START. First, ground truth bounds the errors: the output is a short list of differences a human checks in a minute, not a proposed roster, so noise that would be unusable in cold start is merely ignorable here. Second and stronger, the stored roster is a vocabulary that makes partial evidence resolvable at all. On one club's members page eleven bare given names each resolved to exactly one current member; without the roster 'Bram' is unusable, with it 'Bram' is a member. THE VALUE IS THE WARNING, NOT THE ACCURACY. Reviewers spot a name that should not be there and miss a name that is absent, because attention goes to what is on the page. So the finding no human review catches is 'on your website, not in your data'. Do not treat the agreement score as a target: it can be raised by suppressing uncertain findings, and each suppressed finding is a warning nobody gets. EFFORT RE-ESTIMATED S TO M as the scope grew during discussion. The comparison itself is S, since the extraction already exists and a diff against stored JSON is small. What makes it M is being usable more than once: a decision recorded per finding, with expiry driven by a fingerprint of the evidence rather than by time, so a dismissal lapses when the club's page changes instead of silently suppressing a warning that has become valid again. Cadence is annual at minimum, since membership churn clusters around 1 January, but a monthly scheduled run is cheap and keeps the findings honest. THEME IS ARGUABLE: filed under keeping it working because from a reader's point of view the promise is that their page stays right, but it could sit under getting more clubs on board, since it also manufactures the reason to make contact and shares all its machinery with the editor. Design recorded on #835 (extraction and the two modes), #833 (the editor, the three-way comparison and the decision states) and #840 (consent, and the rule for what may be stored where). No dedicated ticket yet. READER-FACING WORDING REWRITTEN 6 Sept 2026. The previous text, ""a short list of likely changes to your club's data, drawn from your club's own website"", failed three ways for the intended reader, who is a club member running the app as a favour rather than anyone involved in its design. ""Your own website"" reads as the reader's personal site. ""Likely changes"" sounds like a prediction of something about to happen. And ""changes"" says nothing about what kind: new members, altered portfolios, something else. The replacement leads with the human event rather than the mechanism, and its middle clause quietly explains how the thing can work at all, which a reader who has never wondered where the app's data comes from needs in order to believe it. Deliberately vague about which of the two sources is wrong and what happens when a difference is found: neither is settled, and a questionnaire should not imply otherwise. It also asks nothing of the reader, who may well not be the person maintaining the club's data and should not come away feeling volunteered."
