date,files,code,comments,blanks,tests,openIssues,closedIssues,expertises
2024-01-21,63,4738,640,544,0,34,198,0
2024-01-26,64,6028,740,565,0,33,200,0
2024-02-05,64,6008,742,564,0,32,206,0
2024-02-07,64,6007,742,565,0,32,206,0
2024-02-15,64,6021,742,565,0,35,209,0
2024-02-21,64,6026,741,566,0,35,215,0
2024-02-29,64,6052,741,565,0,34,216,0
2024-03-01,64,6052,741,565,0,34,216,0
2024-03-02,65,6125,756,582,0,33,217,0
2024-03-07,66,6205,770,594,0,33,217,0
2024-03-08,66,6212,769,596,0,33,217,0
2024-03-18,66,6236,769,598,0,29,224,0
2024-03-28,66,6278,768,595,0,35,229,0
2024-03-30,67,6293,774,601,0,37,229,0
2024-03-31,68,6321,779,607,0,36,231,0
2024-04-05,68,6401,745,588,0,31,241,0
2024-04-09,70,6419,775,604,0,34,242,0
2024-04-20,70,6457,755,575,0,33,247,0
2024-04-21,70,6456,755,575,0,33,247,0
2024-04-27,70,6472,793,580,0,32,248,0
2024-04-28,70,6468,794,581,0,32,250,0
2024-05-07,70,6474,790,581,0,32,253,0
2024-05-20,70,6437,790,579,0,31,254,0
2024-05-26,70,6426,793,586,0,32,256,0
2024-06-01,70,6332,830,618,0,34,256,0
2024-06-08,70,6371,834,625,0,34,257,0
2024-06-09,71,6424,844,634,0,35,258,0
2024-06-16,70,6437,853,632,0,35,261,0
2024-06-18,70,6494,836,639,0,34,262,0
2024-06-21,70,6467,841,648,0,36,263,0
2024-06-23,72,6538,870,683,0,34,269,0
2024-07-06,72,6516,854,683,0,34,278,0
2024-07-12,72,6541,849,688,0,32,288,0
2024-07-13,73,6670,919,716,0,36,289,0
2024-07-14,75,6649,948,715,0,37,290,0
2024-07-19,75,6750,922,709,0,38,292,0
2024-07-20,76,6830,940,717,0,40,294,0
2024-07-21,76,6897,960,731,0,39,296,0
2024-07-24,76,6923,966,733,0,40,296,0
2024-07-26,79,6934,978,737,0,39,298,0
2024-07-27,80,6702,968,721,0,41,298,0
2024-07-28,80,6706,964,717,0,45,300,0
2024-08-02,78,6711,963,707,0,46,301,0
2024-08-04,79,6761,971,717,0,46,306,0
2024-08-11,79,6767,971,719,0,42,316,0
2024-08-17,79,6768,971,719,0,40,324,0
2024-08-18,78,5467,885,700,0,40,324,0
2024-10-06,78,5475,885,700,0,38,328,0
2024-10-21,77,5376,878,696,0,39,329,0
2024-10-30,77,5379,878,696,0,40,329,0
2024-11-23,77,5392,878,698,0,41,332,0
2024-11-29,75,5169,817,679,0,41,332,0
2024-11-30,75,5188,828,683,0,41,333,0
2024-12-04,70,4970,769,648,0,41,334,0
2025-01-09,70,4980,766,644,0,44,335,0
2025-01-10,70,4955,765,642,0,45,336,0
2025-01-11,70,5024,796,667,0,45,336,0
2025-01-12,70,4980,726,664,0,44,337,0
2025-01-17,70,4980,726,664,0,46,338,0
2025-01-26,70,4958,765,642,0,44,341,0
2025-01-27,70,5082,741,673,0,44,343,0
2025-02-09,70,5037,704,652,0,46,349,0
2025-02-14,70,5069,696,649,0,48,350,0
2025-02-19,75,5073,708,653,0,45,353,10
2025-02-23,82,5831,803,743,9,49,358,10
2025-02-24,83,5928,802,737,12,49,358,10
2025-02-26,84,6120,814,750,14,48,360,10
2025-03-01,84,6195,814,764,14,47,363,10
2025-03-02,84,6204,814,763,14,47,363,10
2025-03-05,85,6351,828,777,15,48,366,10
2025-03-08,83,6336,816,782,15,49,366,10
2025-03-09,83,6406,830,801,17,49,366,10
2025-03-12,84,6617,840,823,19,50,367,10
2025-03-13,84,6643,840,823,19,50,367,10
2025-03-14,84,6677,842,826,20,50,367,10
2025-03-22,84,6755,849,849,22,49,368,10
2025-03-23,84,6809,845,845,22,49,368,10
2025-03-24,84,6865,853,851,22,49,368,10
2025-03-30,85,6848,855,856,22,48,371,12
2025-04-01,85,6850,855,856,22,49,371,13
2025-04-07,80,6442,809,829,23,49,371,13
2025-04-19,80,6491,809,829,23,49,371,14
2025-04-28,81,6486,829,844,23,50,371,15
2025-06-02,83,6564,842,863,23,51,379,21
2025-06-03,86,6894,862,890,23,51,379,21
2025-06-04,86,6555,856,913,23,52,381,21
2025-06-09,86,6645,868,924,23,50,389,21
2025-06-10,86,6664,869,929,23,50,390,21
2025-06-14,87,6711,879,941,23,49,392,21
2025-06-15,88,6708,883,946,23,49,392,21
2025-06-23,88,6718,884,948,23,50,392,21
2025-06-24,88,6707,907,948,23,50,392,21
2025-06-25,88,6727,884,951,23,49,394,21
2025-07-06,89,6764,893,962,23,50,398,21
2025-07-19,89,6781,894,964,23,52,400,22
2025-07-20,89,6781,894,964,23,52,400,22
2025-07-30,89,6791,893,967,23,49,410,22
2025-08-01,89,6859,896,973,23,48,411,22
2025-08-23,90,6959,977,968,23,52,415,22
2025-08-26,90,7046,939,986,24,52,416,22
2025-08-29,90,7177,905,958,24,52,416,23
2025-09-08,99,8630,979,1043,24,53,417,23
2025-09-13,101,8833,987,1056,31,53,421,23
2025-10-01,101,9036,999,1068,31,51,425,23
2025-10-19,101,9039,1000,1069,31,52,430,24
2025-10-24,101,9132,997,1033,31,51,433,24
2025-11-04,101,9132,997,1033,31,51,433,25
2025-11-11,103,9236,1011,1056,31,50,436,25
2025-11-12,103,9232,1012,1060,31,50,436,25
2025-11-14,103,9263,1032,1065,31,49,438,25
2025-11-15,104,9315,1051,1071,31,49,439,25
2025-11-28,104,9340,1082,1096,31,50,442,26
2025-12-13,108,9402,1110,1106,31,54,445,26
2025-12-21,109,9460,1117,1118,31,53,446,26
2025-12-24,111,9701,1150,1150,31,53,447,26
2025-12-25,112,9942,1160,1158,31,52,449,26
2025-12-28,112,10000,1167,1167,31,53,450,26
2026-01-03,112,10069,1209,1174,31,56,452,26
2026-01-04,113,10054,1214,1177,31,54,456,26
2026-01-06,114,10089,1209,1181,31,54,458,26
2026-01-09,115,10185,1223,1203,31,55,462,27
2026-01-10,116,10237,1229,1207,31,55,465,27
2026-01-24,117,10292,1236,1218,31,55,467,27
2026-01-30,119,10346,1243,1229,31,55,467,27
2026-01-31,119,10387,1243,1229,31,56,467,27
2026-02-02,119,10375,1251,1229,31,56,467,27
2026-02-06,120,10492,1276,1261,31,54,469,27
2026-02-14,120,10501,1276,1267,31,56,472,28
2026-02-18,119,10467,1284,1265,31,56,473,29
2026-03-15,121,10348,1303,1268,31,56,475,29
2026-03-16,125,10433,1327,1285,31,56,475,29
2026-03-19,125,10523,1326,1297,31,56,475,29
2026-03-22,126,10511,1331,1300,31,56,475,29
2026-03-24,131,10757,1360,1320,31,56,475,29
2026-03-25,133,10812,1371,1335,31,56,475,29
2026-03-26,129,10263,1345,1332,31,56,475,29
2026-03-29,129,10381,1368,1344,31,56,475,29
2026-04-01,129,10411,1403,1343,31,56,475,29
2026-04-02,130,10428,1423,1355,31,56,475,29
2026-04-03,132,10050,1456,1362,31,56,475,29
2026-04-06,132,10105,1499,1398,31,56,476,29
2026-04-08,132,10445,1539,1445,31,56,476,29
2026-04-09,132,10553,1541,1451,31,56,476,29
2026-04-13,137,10756,1622,1492,31,56,477,29
2026-04-15,135,10490,1588,1479,31,62,481,29
2026-04-29,135,10700,1725,1518,32,62,491,29
2026-07-02,143,11185,1971,1650,68,59,520,29
2026-07-03,143,11318,2041,1658,68,58,521,29
2026-07-04,144,11404,2082,1688,70,59,522,29
2026-07-10,153,11618,2215,1748,70,60,525,29
2026-07-11,152,10952,2514,2115,70,61,525,29
2026-07-12,152,10952,2514,2115,70,59,527,29
2026-07-13,152,10959,2514,2115,70,60,528,29
2026-07-15,152,10960,2516,2115,70,61,529,29
2026-07-17,158,11247,2675,2176,78,64,532,29
2026-07-18,159,11279,2718,2189,78,65,534,29
2026-07-19,159,11279,2718,2189,78,65,534,29
2026-07-20,160,11307,2726,2198,82,65,536,29
2026-07-21,160,11307,2726,2198,82,67,536,29
2026-07-22,161,11338,2756,2205,83,67,536,29
2026-07-23,161,11418,2816,2217,83,67,537,29
